BatName,FlavorFed,FlavorFirstApproached,Test,PartnerFlavor,Success
Kiwi,ginger,anise,choice,anise,1
Flamingo,anise,NA,choice,ginger,NA
Crow,anise,NA,individual,plain,NA
Pelican,plain,NA,social,anise,NA
Kiwi,nutmeg,NA,individual,plain,NA
Flamingo,plain,nutmeg,social,nutmeg,1
Crow,chocolate,almond,choice,almond,1
Pelican,almond,NA,choice,chocolate,NA
Puffin,plain,almond,social,almond,1
Kestrel,almond,NA,individual,plain,NA
Phesant,anise,NA,individual,plain,NA
Cedar,plain,anise,social,anise,1
Puffin,anise,nutmeg,individual,plain,0
Kestrel,plain,NA,social,anise,NA
Phesant,ginger,almond,choice,almond,1
Cedar,almond,ginger,choice,ginger,1
Puffin,chocolate,coffee,choice,coffee,1
Kestrel,coffee,chocolate,choice,chocolate,1
Phesant,plain,nutmeg,social,coffee,0
Cedar,coffee,nutmeg,individual,plain,0
Jacana,chocolate,chocolate,individual,plain,1
Jay,plain,anise,social,chocolate,0
Sapphire,ginger,ginger,choice,coffee,0
Finch,coffee,NA,choice,ginger,NA
Jacana,almond,almond,choice,ginger,0
Jay,ginger,almond,choice,almond,1
Sapphire,plain,NA,social,almond,NA
Finch,almond,NA,individual,plain,NA
Jacana,plain,nutmeg,social,nutmeg,1
Jay,nutmeg,coffee,individual,plain,0
Sapphire,nutmeg,anise,individual,plain,0
Finch,plain,NA,social,nutmeg,NA
Skimmer,plain,NA,social,coffee,NA
Killdeer,coffee,coffee,individual,plain,1
Jabiru,nutmeg,NA,choice,ginger,NA
Flacon,ginger,ginger,choice,nutmeg,0
Sawinson,almond,NA,individual,plain,NA
Cooper,plain,NA,social,almond,NA
Skimmer,almond,ginger,choice,ginger,1
Killdeer,ginger,almond,choice,almond,1
Jabiru,almond,NA,individual,plain,NA
Flacon,plain,almond,social,almond,1
Sawinson,plain,NA,social,nutmeg,NA
Cooper,nutmeg,nutmeg,individual,plain,1
Skimmer,chocolate,chocolate,individual,plain,1
Killdeer,plain,anise,social,chocolate,0
Jabiru,plain,NA,social,coffee,NA
Flacon,coffee,coffee,individual,plain,1
Sawinson,ginger,ginger,choice,coffee,0
Cooper,coffee,ginger,choice,ginger,1
Penguin,chocolate,chocolate,choice,coffee,0
Colibri,coffee,NA,choice,chocolate,NA
Warbler,almond,almond,individual,plain,1
Coot,plain,almond,social,almond,1
Penguin,plain,ginger,social,nutmeg,0
Colibri,nutmeg,NA,individual,plain,NA
Warbler,plain,anise,social,anise,1
Coot,anise,anise,individual,plain,1
Penguin,almond,almond,individual,plain,1
Colibri,plain,NA,social,almond,NA
Warbler,coffee,coffee,choice,nutmeg,0
Coot,nutmeg,nutmeg,choice,coffee,0
Hoopoe,chocolate,chocolate,individual,plain,1
Stork,plain,chocolate,social,chocolate,1
Hoopoe,plain,coffee,social,coffee,1
Stork,coffee,coffee,individual,plain,1
Stork,almond,almond,choice,nutmeg,0
Hoopoe,nutmeg,nutmeg,choice,almond,0
Tuki,anise,anise,individual,plain,1
Scrub,plain,anise,social,anise,1
Tuki,plain,ginger,social,ginger,1
Scrub,ginger,ginger,individual,plain,1
Scrub,almond,coffee,choice,coffee,1
Screamer,plain,ginger,social,almond,0
Booby,almond,NA,Individual,plain,NA
Pecker,chocolate,NA,choice,anise,NA
Shags,anise,anise,choice,chocolate,0
Screamer,nutmeg,nutmeg,choice,coffee,0
Booby,coffee,nutmeg,choice,nutmeg,1
Pecker,nutmeg,NA,individual,plain,NA
Shags,plain,NA,social,nutmeg,NA
Screamer,chocolate,anise,individual,plain,0
Booby,plain,NA,social,chocolate,NA
Pecker,plain,almond,social,ginger,0
Shags,ginger,NA,individual,plain,NA
